"","Subtype","EBF","TCF","TNF","LMAN2","RARG","SMAD3B2","ZAP70_CpG3","ZAP70_SHORE","CLL13R.Imp","CLL15R.Imp","CLL1R.3.Imp","CLL5R.Imp","CLL6R.Imp","CLL9F.Imp","Myeloid1R.2.Imp","Myeloid4F.2.Imp","Myeloid6R.Imp","T.NK1R.Imp","T.NK4F.Imp","T.NK5F.Imp"
"GL34","IP",0.037625,0.081383667,0,0.183323,0.040169,0.071105667,0.418911,0.204007,0.95,0.93,1,0.95,0.95,1,1,1,1,0.12,0.1,0.05
"ibCLL-PRE3","IP",0.439241,0.055887,0.00119,0.08767325,0.0969535,0.194283,0.317225,0.816748667,0.95,0.92,1,0.98,0.95,0,1,1,1,0.1,0.1,0.03
"KRR0059_2002","IP",0.0678905,0.386231,0.2992725,0.2270225,0.0565,0.060957333,0.332526,0.720811,0.95,1,1,0.93,0.95,0.98,1,1,1,0.07,0.1,0.05
"KRR0077 (Heidelberg p3)","IP",0.0914345,0.209559333,0.089656,0.10110775,0.153925,0.066207,0.178717,0.356531,0.95,0.76,0.89,0.84,0.95,0.84,0.84,1,1,0.12,0.1,0.14
"P0026","IP",0.10079,0.237318,0.184178,0.21622825,0,0.092608,0.362077,0.230922667,0.83,0.98,0.88,0.9,0.95,0.89,0.73,1,1,0.11,0.1,0.11
"P0042","IP",0.0857105,0.134443667,0.2289535,0.174108,0,0.058383667,0.370022,0.584680667,0.95,1,0.8,0.8,0.95,0.81,1,1,1,0.13,0.1,0.13
"P0045","IP",0.1248725,0.151715,0.4395,0.232781,0.1745975,0.181115667,0.293844,0.514352333,0.95,0.88,0.89,0.9,0.95,0.81,1,1,1,0.15,0.1,0.12
"P0053","IP",0.131944,0.224353333,0.482291,0.24133125,0.0723865,0.082485,0.45061,0.626156667,0.75,0.82,0.62,0.68,0.95,0.81,0.96,1,1,0.17,0.1,0.2
"P0069","IP",0.1102005,0.318482667,0.0657155,0.2368305,0.021426,0.08036,0.497946,0.486868,0.84,0.93,0.95,0.98,0.95,0.94,1,1,1,0.11,0.1,0.12
"P0074","IP",0.1042985,0.099275,0.1334435,0.21214475,0,0.080713,0.436502,0.755499,0.95,1,1,0.9,0.95,0.95,1,1,1,0.08,0.1,0.05
"P0078","IP",0.0784425,0.127164667,0.8133415,0.313956,0.2568535,0.0873985,0.559504,0.736443,0.8,0.72,0.87,0.89,0.95,0.82,1,1,1,0.01,0.1,0.16
"P0352","IP",0.122205,0.360032667,0.2256105,0.27434325,0.1529385,0.0899505,0.430808,0.553901667,0.73,1,0.99,0.91,0.56,0.72,1,1,1,0.09,0.1,0.14
"P0445","IP",0.0885085,0.189245333,0.120735,0.19022375,0.0526375,0.061696667,0.364593,0.374243667,0.95,1,0.71,0.81,0.95,0.74,1,1,1,0,0.1,0.23
"P0494","IP",0.0295245,0.057449667,0.759766,0.176202,0.3627755,0.082175,0.688374,0.806323,0.95,1,1,0.98,0.95,0.93,1,1,1,0.07,0.1,0.05
"P0504","IP",0.0665395,0.146643667,0.287228,0.256188,0.2717685,0.063727333,0.337555,0.678594333,0.95,1,1,1,0.95,0.88,1,1,1,0.07,0.1,0.09
"P0518","IP",0.098203,0.228771667,0.1985155,0.51608425,0.036497,0.479683667,0.485643,0.683641333,0.95,1,0.91,1,0.95,0.82,0.9,1,1,0.01,0.1,0.14
"P0620","IP",0.136792,0.356592667,0.0839385,0.18598775,0.0594205,0.215284,0.359694,0.246864667,0.95,0.94,0.95,0.97,0.95,0.86,0.69,1,1,0.08,0.1,0.14
"P0687","IP",0.0831275,0.414297667,0.4378675,0.2609155,0.321015,0.0573885,0.346076,0.334445333,0.95,1,1,1,0.95,0.9,1,1,1,0,0.1,0.08
"P0723","IP",0.193297,0.293492333,0.408216,0.316049,0.077549,0.080550333,0.447013,0.773067,0.82,0.89,0.85,0.83,0.95,0.83,0.98,1,1,0.23,0.1,0.14
"SA29","IP",0.0478895,0.099298667,0.746711,0.36707125,0.046541,0.031518667,0.529806,0.561818667,0.95,1,1,1,0.68,1,0.89,1,1,0.05,0.1,0.03
"TJK0597 (Heidelberg p3)","IP",0.1352785,0.199157333,0.4673255,0.192974,0.099109,0.089160333,0.485755,0.683309667,0.83,0.82,0.93,0.87,0.95,0.84,0.72,1,1,0.05,0.1,0.15
"628","LP",0.5819125,0.602568333,0.8060615,0.410205,0.1011105,0.039782,0.396748,0.582265333,0.95,0.9,0.96,0.87,0.95,0.9,1,1,1,0.03,0.1,0.12
"2O_CLL016","LP",0.755129,0.699552333,0.0890915,0.25497225,0.294911,0.074084667,0.410037,0.757795,0.95,1,1,1,0.95,1,1,1,1,0.01,0.1,0
"2O_CLL048","LP",0.909189,0.523051333,0.871385,0.278485,0.1384965,0.216965667,0.427551,0.358337667,0.95,1,0.95,0.91,0.95,0.79,1,0.57,1,0.07,0.1,0.08
"2O_CLL051","LP",0.6852915,0.701773333,0.830375,0.20609925,0.0528925,0.061789,0.402544,0.373872,0.95,1,1,1,0.95,1,0.44,1,1,0.03,0.1,0.06
"2O_CLL057","LP",0.9690325,0.653859333,0.974877,0.27899175,0.3923055,0.066980667,0.4423,0.522841667,0.95,1,1,1,0.95,1,0.65,0.6,1,0.07,0.1,0.06
"2O_CLL066","LP",0.95708,0.668674667,0.8748085,0.215008,0.0435535,0.055336333,0.39141,0.275249667,0.95,1,0.99,1,0.95,1,1,0.86,1,0.05,0.1,0.05
"2O_CLL073","LP",0.7673245,0.505958667,0.936746,0.26002125,0.2875115,0.124126667,0.435931,0.487904,0.95,1,1,1,0.95,0.92,0.94,1,1,0.11,0.1,0.05
"2O_CLL110up","LP",0.8274525,0.537444333,0.832497,0.27099975,0.0635475,0.061283,0.4022,0.231803667,0.95,1,1,1,0.95,1,0.69,1,1,0.06,0.1,0.05
"BG40","LP",0.946855,0.713919333,0.793448,0.20295075,0.058954,0.056746,0.38489,0.44362,0.95,1,1,1,0.95,0.98,1,1,1,0.04,0.1,0.04
"BRANS","LP",0.5255955,0.117063333,0.866581,0.10005475,0.036909,0.061903333,0.262661,0.265778667,0.95,0.91,1,0.96,0.95,0.94,0.99,1,1,0.08,0.1,0.08
"CH65","LP",0.789538,0.571678,0.8732075,0.350422667,0.053496,0.065494,0.493352,0.294003667,0.95,1,1,1,0.95,1,1,1,1,0.08,0.1,0.02
"CLL088","LP",0.7349395,0.606969667,0.9162905,0.29450875,0.09993,0.061671333,0.421785,0.262857667,0.95,1,1,1,0.95,0.97,1,0.78,1,0.02,0.1,0.03
"CLL259up","LP",0.9237015,0.688298667,0.825905,0.176304,0.0378625,0.07085,0.349239,0.336060333,0.95,1,1,1,0.95,0.94,1,0.93,1,0.1,0.1,0.02
"CLL318up","LP",0.925873,0.460874333,0.698895,0.268167,0.103567,0.040964667,0.461664,0.660953667,0.95,1,1,1,0.95,0.96,1,0.46,1,0.08,0.1,0.06
"CLL333up","LP",0.7633765,0.713694333,0.864419,0.32207925,0.1066985,0.044353667,0.345573,0.319151333,0.95,1,1,1,0.95,0.93,1,0.89,1,0.1,0.1,0.03
"CLL51","LP",0.813136,0.745174333,0.9248305,0.21808925,0.20211,0.060064,0.220362,0.19341,0.95,1,1,1,0.95,1,1,1,1,0.07,0.1,0.05
"CLL54","LP",0.8971885,0.710891,0.6902295,0.12687675,0.032597,0.060225333,0.222892,0.121142333,0.95,1,1,1,0.95,1,1,1,1,0.06,0.1,0.06
"CLL57","LP",0.9244025,0.635327333,0.9466995,0.08324875,0.016601,0.040774667,0.201034,0.211504333,0.95,1,1,1,0.95,0.92,1,1,1,0.1,0.1,0.06
"CLL60","LP",0.75934,0.792387333,0.95819,0.152875,0.025336,0.070864,0.245117,0.324605667,0.95,1,1,0.96,0.95,1,1,1,1,0.07,0.1,0.05
"CLL66","LP",0.942295,0.531455333,0.9605875,0.142127667,0.0421715,0.054153,0.201554,0.192492333,0.95,1,1,1,0.95,1,1,1,1,0.07,0.1,0.03
"CLL72","LP",0.9136955,0.571702,0.9285545,0.11638325,0.0397045,0.043984667,0.226304,0.065867,0.95,1,1,1,0.95,0.97,0.92,1,1,0.1,0.1,0.04
"ibCLL-PRE1","LP",0.9106895,0.644410667,0.8699805,0.11119125,0.2178315,0.035454333,0.248682,0.089093667,0.95,1,1,1,0.95,1,1,0.6,1,0,0.1,0.04
"ibCLL-PRE2","LP",0.946002,0.766681667,0.606838,0.10872675,0.017807,0.054441,0.211963,0.444906,0.95,1,1,0.97,0.95,1,0.86,1,1,0.1,0.1,0.05
"ibCLL-PRE4","LP",0.950468,0.777121667,0.9498825,0.08243875,0.025549,0.048070667,0.216547,0.136687333,0.95,1,1,1,0.95,1,1,1,1,0.06,0.1,0.05
"ibCLL-PRE5","LP",0.7834425,0.649857333,0.843057,0.147904,0.0202805,0.212089,0.305003,0.157811,0.95,1,1,1,0.95,1,0.75,1,1,0.1,0.1,0.05
"ibCLL-PRE6","LP",0.520687,0.599627333,0.437273,0.19535775,0.205794,0.021824333,0.316551,0.107193,0.95,1,1,0.98,0.95,1,0.93,1,1,0.06,0.1,0.04
"ibCLL-PRE7","LP",0.9553265,0.670779333,0.93679,0.118525,0.0205705,0.132520333,0.283908,0.151089333,0.95,1,1,1,0.95,1,1,0.88,1,0.03,0.1,0.03
"ibCLL-PRE8","LP",0.943003,0.741725333,0.718792,0.15126075,0.019422,0.187348,0.315574,0.143963667,0.95,1,1,1,0.95,1,1,1,1,0.07,0.1,0.04
"JCB0251_2006","LP",0.8576725,0.704104,0.91209,0.11661475,0.247885,0.056842,0.272859,0.583872667,0.95,1,0.98,0.98,0.95,1,0.67,1,1,0.1,0.1,0.05
"JCB0641_2009","LP",0.941848,0.576367667,0.8284735,0.1846395,0.036035,0.190969667,0.211708,0.216839667,0.95,0.9,1,0.9,0.95,0.93,1,1,1,0.13,0.1,0.07
"KH55","LP",0.7142495,0.696630333,0.7028255,0.3329695,0.1108135,0.051732667,0.541589,0.489812333,0.95,1,1,0.94,0.95,1,1,1,0.71,0.01,0.1,0.05
"KRR0017 (Heidelberg p3)","LP",0.9492225,0.598587667,0.937315,0.08822725,0.0336495,0.0746855,0.245334,0.171079,0.95,0.82,0.88,0.83,0.95,0.86,1,1,1,0.08,0.1,0.07
"KRR0473 (Heidelberg p3)","LP",0.956279,0.684691,0.818688,0.1236695,0.0227665,0.0817175,0.29092,0.420347667,0.86,0.74,0.88,0.84,0.95,0.86,1,1,1,0.01,0.04,0.08
"LO24","LP",0.755255,0.694572333,0.7225835,0.21275525,0.057345,0.083019333,0.290377,0.166378667,0.95,0.94,0.94,0.9,0.95,0.88,1,1,1,0.15,0.1,0.14
"LSTAR","LP",0.897877,0.669819333,0.763759,0.24257975,0.153203,0.279022333,0.291128,0.126050333,0.95,0.88,0.9,0.93,0.95,0.88,0.93,1,1,0.16,0.1,0.12
"MJK0058 (Heidelberg p3)","LP",0.9573405,0.760296,0.8160845,0.19724,0.060239,0.167515,0.339221,0.221527,0.83,0.69,0.8,0.74,0.77,0.73,0.97,1,1,0.14,0.1,0.15
"MJK0163 (Heidelberg p3)","LP",0.951369,0.741019667,0.7266935,0.14334575,0.3730895,0.072708333,0.249675,0.483798,0.95,0.95,1,0.93,0.95,0.9,1,1,1,0.08,0.1,0.09
"MJK0179 (Heidelberg p3)","LP",0.762798,0.690880333,0.4968505,0.233717667,0.1396485,0.26574,0.422836,0.409036,0.95,0.65,0.73,0.73,0.82,0.73,0.67,1,1,0.27,0.1,0.24
"MJK0359 (Heidelberg p3)","LP",0.87626,0.757832,0.884087,0.154104333,0.0336655,0.0971065,0.208393,0.181318,0.95,0.67,0.8,0.73,0.95,0.8,1,1,0.99,0.22,0.1,0.18
"MJK0409 (Heidelberg p3)","LP",0.730342,0.785615333,0.6774425,0.1166365,0.0206215,0.068414,0.171615,0.193368,0.95,0.73,0.83,0.77,0.95,0.82,1,1,1,0.18,0.1,0.14
"MJK0841 (Heidelberg p3)","LP",0.9158565,0.688285,0.781839,0.173981,0.153482,0.073014,0.221714,0.427575333,0.95,0.71,0.94,0.88,0.95,0.91,1,0.51,1,0.13,0.1,0.19
"MWARR","LP",0.9188965,0.631710333,0.664056,0.1598835,0.064668,0.104875667,0.296195,0.696426333,0.95,0.94,0.97,0.93,0.95,0.91,1,1,1,0.12,0.1,0.08
"P0006","LP",0.838422,0.708065333,0.8674655,0.18966575,0.1551145,0.091703333,0.371107,0.522170667,0.95,1,0.88,0.95,0.95,0.87,1,1,1,0.08,0.1,0.11
"P0010","LP",0.7411355,0.441465667,0.4290325,0.339114,0.304127,0.264640667,0.463046,0.480212667,0.84,0.82,0.72,0.65,0.88,0.77,1,1,1,0.21,0.1,0.16
"P0012","LP",0.917913,0.718501333,0.855811,0.2346655,0.011639,0.093018667,0.342988,0.123878,0.95,1,1,1,0.95,0.95,1,1,1,0.05,0.1,0.06
"P0031","LP",0.855739,0.713777,0.8653185,0.29959775,0.1986515,0.059269333,0.374975,0.299414667,0.95,0.95,0.86,0.87,0.95,0.85,1,1,1,0.05,0.1,0.11
"P0036","LP",0.9417255,0.520497,0.875061,0.17198025,0.226527,0.048848,0.342614,0.303379,0.95,1,1,1,0.95,0.95,1,1,1,0.07,0.1,0.08
"P0070","LP",0.747982,0.375837667,0.8405145,0.227337,0.036668,0.086093,0.428377,0.329915,0.95,0.88,0.8,0.76,0.95,0.87,1,1,0.97,0.17,0.1,0.14
"P0072","LP",0.9706825,0.648594667,0.717892,0.20517725,0.094566,0.156424667,0.263249,0.16019,0.95,0.8,0.88,0.91,0.92,0.84,1,1,1,0.15,0.1,0.16
"P0087","LP",0.7833465,0.061682667,0.851741,0.184259333,0.1586605,0.050681,0.347285,0.676165,0.95,1,1,1,0.95,0.96,0.32,0.41,1,0.06,0.1,0.04
"P0314","LP",0.9360215,0.717986667,0.759611,0.30725575,0.142903,0.068823,0.406414,0.341389,0.46,1,0.86,0.73,0.95,0.77,0.94,1,1,0.06,0.1,0.25
"P0315","LP",0.9631695,0.643411,0.745835,0.2843095,0.096603,0.224799333,0.442662,0.396116333,0.95,1,0.93,0.88,0.95,0.83,1,1,1,0.11,0.1,0.21
"P0347","LP",1,0.552057667,0.9305315,0.34703425,0.214313,0.290926333,0.390976,0.28187,0.95,0.92,0.86,0.88,0.95,0.84,1,1,1,0,0.1,0.18
"P0356","LP",0.7433485,0.691955333,0.7361365,0.20640475,0.048912,0.068585667,0.288589,0.207134333,0.95,0.9,0.97,0.87,0.95,0.91,1,0.6,1,0.12,0.1,0.16
"P0360","LP",0.5980215,0.559769333,0.877158,0.18941325,0.466477,0.040384667,0.325055,0.381339667,0.95,1,1,1,0.95,1,1,0.97,1,0.08,0.1,0.06
"P0362","LP",0.584783,0.733588667,0.777179,0.17428275,0.293679,0.100439333,0.312935,0.417961,0.95,1,0.9,0.85,0.95,0.86,1,1,1,0.04,0.1,0.09
"P0367","LP",0.5875635,0.556115667,0.853054,0.19012275,0.2217505,0.058421333,0.357842,0.517367667,0.95,0.93,0.75,0.8,0.95,0.81,0.8,1,1,0.14,0.1,0.12
"P0369","LP",0.9725275,0.741644667,0.8905895,0.21469225,0,0.055326667,0.385404,0.285447,0.95,1,0.95,0.88,0.95,0.91,1,1,1,0.16,0.1,0.09
"P0427","LP",0.9543895,0.721600667,0.627605,0.354972,0.189601,0.1667315,0.441228,0.645313,0.45,0.63,0.68,0.58,0.52,0.69,1,1,1,0.24,0.22,0.25
"P0432","LP",0.942596,0.721467333,0.6908245,0.2655155,0.1806765,0.121440667,0.377381,0.2016,0.95,0.85,0.81,0.77,0.95,0.82,1,1,1,0.18,0.1,0.18
"P0433","LP",0.9738165,0.772249333,0.8758875,0.187515,0.142307,0.050071667,0.372067,0.452577,0.95,0.95,0.85,0.9,0.95,0.87,1,1,1,0.15,0.1,0.07
"P0460","LP",0.791711,0.714369,0.765404,0.260529,0.3381265,0.18085,0.41704,0.328815667,0.71,0.82,0.83,0.8,0.8,0.79,1,1,1,0.1,0.11,0.2
"P0467","LP",0.9309605,0.565179,0.6005545,0.287045,0.097084,0.111264,0.41073,0.328166667,0.77,0.76,0.75,0.66,0.79,0.71,1,1,1,0.21,0.1,0.2
"P0478","LP",0.799714,0.746385,0.6988105,0.30947625,0.2246275,0.082941333,0.309234,0.530406,0.95,0.97,0.75,0.8,0.95,0.86,1,1,1,0.18,0.1,0.15
"P0484","LP",0.6470045,0.357174667,0.877638,0.196025,0.0463565,0.198670333,0.341927,0.242491667,0.95,0.98,0.92,0.81,0.95,0.82,1,1,1,0.17,0.1,0.13
"P0487","LP",0.883547,0.633422,0.6318265,0.26094975,0.024745,0.122219,0.414619,0.564523,0.95,1,0.88,0.9,0.95,0.83,1,0.72,1,0.1,0.1,0.17
"P0491","LP",0.77154,0.638002333,0.7773365,0.23891275,0.29934,0.078301,0.352538,0.231397333,0.86,0.99,1,0.99,0.95,0.82,0.98,1,1,0,0.1,0.17
"P0503","LP",0.7605685,0.697950333,0.8568335,0.17604775,0.066186,0.168813333,0.353121,0.296577,0.95,0.98,0.89,0.85,0.95,0.85,1,1,1,0.13,0.1,0.12
"P0526","LP",0.9222325,0.53821,0.704258,0.18016625,0.253504,0.088934333,0.502138,0.660284667,0.69,0.76,0.8,0.72,0.87,0.79,1,1,1,0.2,0.15,0.19
"P0581","LP",0.8193825,0.610365667,0.8307125,0.475469,0.529543,0.777758,0.3468,0.204762667,0.83,0.7,0.85,0.84,0.95,0.85,1,1,1,0.08,0.1,0.12
"P0603","LP",1,0.51711,0.867172,0.324156,0.065803,0.074402,0.392403,0.398517667,0.85,0.83,0.82,0.83,0.95,0.78,1,1,1,0.16,0.1,0.15
"P0604","LP",1,0.732865333,0.872897,0.308744,0.1952845,0.069759333,0.416312,0.531295333,0.95,1,0.91,0.81,0.95,0.79,1,1,1,0.1,0.1,0.11
"P0607","LP",0.950136,0.767406667,0.765743,0.18703925,0.036927,0.103992333,0.29415,0.178756333,0.95,1,0.79,0.81,0.95,0.78,0.89,0.71,1,0.2,0.1,0.19
"P0618","LP",0.945614,0.696726333,0.579937,0.233636,0.102562,0.169032667,0.193303,0.103637667,0.74,0.8,0.79,0.75,0.87,0.78,1,1,1,0.23,0.16,0.32
"P0641","LP",0.537917,0.716597,0.7720375,0.30692275,0.341649,0.073327,0.365147,0.224567,0.95,0.97,0.86,0.87,0.95,0.86,0.83,1,1,0.08,0.1,0.1
"P0701","LP",0.9651085,0.62173,0.856029,0.23108225,0.3394775,0.057538333,0.378535,0.282513,0.95,1,0.97,0.95,0.95,0.86,1,1,1,0,0.1,0.12
"P0706","LP",0.77278,0.720888,0.9324965,0.099313,0.024922,0.213408,0.194097,0.090437333,0.95,1,0.87,0.85,0.95,0.91,1,1,1,0.2,0.1,0.13
"P0711","LP",0.7913845,0.652724667,0.890612,0.119754,0.0246725,0.227951,0.209659,0.083247667,0.95,0.91,0.89,0.84,0.95,0.88,1,1,1,0.12,0.1,0.14
"P0720","LP",0.7696145,0.540329667,0.7405185,0.163597,0.1169125,0.155688667,0.272331,0.235768,0.95,0.78,0.83,0.77,0.95,0.75,1,0.67,1,0.19,0.1,0.14
"PI52","LP",0.699524,0.360263333,0.870109,0.15562925,0.0307095,0.051684333,0.286134,0.375494333,0.95,1,1,0.99,0.95,0.98,1,0.78,1,0.1,0.1,0.05
"PW28","LP",0.57262,0.499704,0.8284305,0.202312,0.0446305,0.087424,0.302051,0.319000667,0.95,1,1,1,0.95,1,1,0.3,1,0.09,0.1,0.02
"RCARR","LP",0.922757,0.437450333,0.8966285,0.13082575,0.0450415,0.245048667,0.272306,0.457170667,0.95,1,1,1,0.95,0.97,1,1,1,0.1,0.1,0.06
"S22","LP",1,0.534591667,0.892843,0.162123667,0.069493,0.435526,0.256872,0.114644,0.95,0.86,0.91,0.87,0.95,0.86,1,1,1,0.17,0.1,0.18
"S36","LP",0.7109755,0.584485,0.8390075,0.20572175,0.23933,0.154009333,0.213737,0.323176,0.95,0.77,0.9,0.87,0.95,0.83,1,1,1,0.17,0.1,0.18
"S51","LP",0.9672715,0.580002,0.8425765,0.13615275,0.0770295,0.104801333,0.18841,0.080263,0.95,1,1,0.96,0.95,0.96,1,1,1,0.1,0.1,0.08
"S64","LP",0.9397535,0.703439333,0.947108,0.15470175,0.3545675,0.168403667,0.265272,0.088098,0.95,1,1,1,0.95,1,1,1,1,0.01,0.1,0.05
"S82","LP",0.9305305,0.624314333,0.3826735,0.24286975,0.4693375,0.077663667,0.244077,0.208908667,0.95,0.78,0.91,0.94,0.95,0.87,1,1,1,0.12,0.1,0.18
"TJK0080 (Heidelberg p3)","LP",0.616861,0.578684333,0.6669845,0.22903675,0.0259045,0.062322,0.288928,0.119126,0.95,0.93,1,0.95,0.95,0.95,0.74,1,1,0.08,0.1,0.1
"WBALD","LP",0.8034375,0.714299333,0.898778,0.161301,0.026981,0.181346333,0.293739,0.227033667,0.95,1,0.71,1,0.95,1,1,0.62,1,0.07,0.1,0.05
"100530038","NON-CLL MBN",0.404718,0.17452,0.30002,0.774061333,0.8646275,0.692149667,0.525651,0.676127667,0.09,0.27,0,0,0.19,0,1,1,1,0,0.1,0.35
"P0008","NON-CLL MBN",0.124055,0.2356,0.0656325,0.26840825,0.169358,0.182991,0.609622,0.809501,0.69,0.89,0.64,0.85,0.26,0.59,1,1,1,0.04,0.1,0.12
"P0034","NON-CLL MBN",0.076608,0.108181667,0,0.5800295,0.7229315,0.843656333,0.731727,0.785995,0.02,0,0,0.18,0.13,0,1,1,1,0.1,0.1,0.07
"P0350","NON-CLL MBN",0.058407,0.198751667,0.116473,0.6734025,0.784998,0.846039667,0.726877,0.760023333,0.3,0.47,0.01,0.53,0.69,0.41,1,1,1,0.25,0.1,0.26
"P0361","NON-CLL MBN",0.0417745,0.065582,0.0095485,0.622872,0.8685655,0.853405667,0.716064,0.830127667,0.79,0.05,0.32,1,0.5,0,1,1,1,0,0.1,0.03
"P0468","NON-CLL MBN",0.3283135,0.253077,0.4346965,0.277753,0.325227,0.422789667,0.5683,0.720386333,0.55,0.52,0.1,0.51,0.32,0,1,1,1,0.17,0.1,0.22
"P0535","NON-CLL MBN",0.090327,0.183888333,0.0482995,0.398324,0.716222,0.801589333,0.731602,0.772317,0,0,0.16,0.41,0.07,0,1,1,1,0.11,0.1,0.08
"P0596","NON-CLL MBN",0.154929,0.233455333,0.115117,0.2971285,0.2018325,0.471621667,0.543158,0.739320667,0.19,0.21,0.76,0.75,0.23,0,1,1,1,0.17,0.1,0.13
"P0597","NON-CLL MBN",0.0990585,0.175661333,0.037715,0.19834775,0.2942075,0.341588,0.382358,0.774636667,0.05,0.08,0.6,0.78,0.2,0.25,1,1,1,0.15,0.1,0.11
