"","Subtype","EBF","TCF","TNF","LMAN2","RARG","SMAD3B2","ZAP70_CpG3","ZAP70_SHORE","CLL13R.Imp","CLL15R.Imp","CLL1R.3.Imp","CLL5R.Imp","CLL6R.Imp","CLL9F.Imp","Myeloid1R.2.Imp","Myeloid4F.2.Imp","Myeloid6R.Imp","T.NK1R.Imp","T.NK4F.Imp","T.NK5F.Imp"
"CLL20","HP",0.0918755,0.185923,0,0.43149725,0.3019115,0.768357667,0.496161,0.788573667,0.95,1,1,0.99,0.95,1,1,1,1,0.09,0.1,0.03
"CLL31","HP",0.053499,0.086844333,0.2258205,0.47783825,0.827559,0.888435667,0.525849,0.721636667,0.95,1,1,0.93,0.95,1,1,1,1,0.1,0.1,0.04
"CLL35","HP",0.067023,0.036263667,0,0.378548,0.8199045,0.87131,0.353938,0.709478333,0.95,1,1,1,0.95,1,1,1,1,0.09,0.1,0.06
"CLL43","HP",0.045759,0.058831667,0.0058275,0.30832175,0.5836005,0.868437,0.735353,0.840436667,0.95,1,1,1,0.95,1,1,1,1,0.07,0.1,0.06
"CLL44","HP",0.04864,0.059812,0,0.511648,0.585355,0.877687667,0.725108,0.842611667,0.95,1,0.97,0.92,0.95,1,0.66,1,1,0.09,0.1,0.06
"CLL49","HP",0.057397,0.031366667,0,0.70029575,0.7576335,0.901386333,0.504174,0.856111333,0.95,1,1,1,0.95,0.97,1,1,1,0.01,0.1,0.05
"CLL55","HP",0.0503025,0.074730333,0.055669,0.46613975,0.704606,0.879928,0.631745,0.758111667,0.95,0.99,1,0.95,0.95,0.94,1,1,1,0.06,0.1,0.05
"CLL58","HP",0.0550265,0.073627,0.3981065,0.363898,0.3883375,0.726515333,0.680436,0.809998333,0.95,1,1,1,0.95,0.93,1,1,1,0.08,0.1,0.07
"CLL68","HP",0.0500665,0.073003333,0,0.54481575,0.663766,0.870278667,0.728859,0.729276,0.95,1,1,0.96,0.95,0.85,0.65,1,1,0.11,0.1,0.04
"GA48","HP",0.0419485,0.081332,0.077232,0.357181,0.595937,0.728690667,0.355316,0.608505,0.95,1,1,1,0.95,1,1,1,1,0.11,0.1,0.04
"KG30","HP",0.051003,0.312040667,0,0.431881,0.5047725,0.920743333,0.448419,0.635899333,0.95,0.99,1,0.99,0.95,1,0.67,1,1,0.08,0.1,0.07
"MJK0008_2002","HP",0.083146,0.191465667,0.042445,0.496153,0.6548475,0.655204333,0.64396,0.672884667,0.95,0.85,0.98,1,0.95,0.91,0.89,1,1,0.13,0.1,0.1
"OF41","HP",0.2495465,0.218119333,0,0.534048,0.7614445,0.812854667,0.754292,0.729554333,0.95,1,1,1,0.95,1,1,1,1,0.06,0.1,0.04
"P0004","HP",0.1236445,0.221947333,0.0992835,0.55108125,0.6589475,0.650686667,0.699908,0.675694333,0.95,1,0.66,0.69,0.95,0.72,0.77,1,1,0.15,0.1,0.25
